anio,provincia,departamento,sector,ambito,nivel,cargos_cubiertos,cargos_vacantes,total_cargos,tasa_cobertura
2024,Buenos Aires,25 DE MAYO,Estatal,Rural,Inicial,32,0,32,100.0
2024,Buenos Aires,25 DE MAYO,Estatal,Rural,Primaria,89,0,89,100.0
2024,Buenos Aires,25 DE MAYO,Estatal,Rural,Secundaria,35,1,36,97.22
2024,Buenos Aires,25 DE MAYO,Estatal,Urbano,Inicial,164,0,164,100.0
2024,Buenos Aires,25 DE MAYO,Estatal,Urbano,Primaria,198,0,198,100.0
2024,Buenos Aires,25 DE MAYO,Estatal,Urbano,Secundaria,120,0,120,100.0
2024,Buenos Aires,25 DE MAYO,Privado,Urbano,Inicial,23,0,23,100.0
2024,Buenos Aires,25 DE MAYO,Privado,Urbano,Primaria,43,0,43,100.0
2024,Buenos Aires,25 DE MAYO,Privado,Urbano,Secundaria,18,0,18,100.0
2024,Buenos Aires,9 DE JULIO,Estatal,Rural,Inicial,30,0,30,100.0
2024,Buenos Aires,9 DE JULIO,Estatal,Rural,Primaria,93,0,93,100.0
2024,Buenos Aires,9 DE JULIO,Estatal,Rural,Secundaria,59,1,60,98.33
2024,Buenos Aires,9 DE JULIO,Estatal,Urbano,Inicial,142,0,142,100.0
2024,Buenos Aires,9 DE JULIO,Estatal,Urbano,Primaria,273,2,275,99.27
2024,Buenos Aires,9 DE JULIO,Estatal,Urbano,Secundaria,139,0,139,100.0
2024,Buenos Aires,9 DE JULIO,Privado,Urbano,Inicial,28,0,28,100.0
2024,Buenos Aires,9 DE JULIO,Privado,Urbano,Primaria,51,0,51,100.0
2024,Buenos Aires,9 DE JULIO,Privado,Urbano,Secundaria,35,0,35,100.0
2024,Buenos Aires,ADOLFO ALSINA,Estatal,Rural,Inicial,23,0,23,100.0
2024,Buenos Aires,ADOLFO ALSINA,Estatal,Rural,Primaria,21,0,21,100.0
2024,Buenos Aires,ADOLFO ALSINA,Estatal,Rural,Secundaria,15,0,15,100.0
2024,Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,Inicial,69,0,69,100.0
2024,Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,Primaria,94,0,94,100.0
2024,Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,Secundaria,73,5,78,93.59
2024,Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,Inicial,19,0,19,100.0
2024,Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,Primaria,25,2,27,92.59
2024,Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,Inicial,55,0,55,100.0
2024,Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,Primaria,67,2,69,97.1
2024,Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,Secundaria,84,4,88,95.45
2024,Buenos Aires,ALBERTI,Estatal,Rural,Inicial,18,0,18,100.0
2024,Buenos Aires,ALBERTI,Estatal,Rural,Primaria,37,0,37,100.0
2024,Buenos Aires,ALBERTI,Estatal,Rural,Secundaria,28,0,28,100.0
2024,Buenos Aires,ALBERTI,Estatal,Urbano,Inicial,44,0,44,100.0
2024,Buenos Aires,ALBERTI,Estatal,Urbano,Primaria,54,1,55,98.18
